imagefile,labelfile,target,train_id
Automatic Rifle_6.jpeg,Automatic Rifle_6.txt,0,1
Automatic Rifle_61.jpeg,Automatic Rifle_61.txt,0,1
Automatic Rifle_62.jpeg,Automatic Rifle_62.txt,0,0
Automatic Rifle_63.jpeg,Automatic Rifle_63.txt,0,1
Automatic Rifle_64.jpeg,Automatic Rifle_64.txt,0,1
Automatic Rifle_65.jpeg,Automatic Rifle_65.txt,0,1
Automatic Rifle_66.jpeg,Automatic Rifle_66.txt,0,1
Automatic Rifle_67.jpeg,Automatic Rifle_67.txt,0,1
Automatic Rifle_68.jpeg,Automatic Rifle_68.txt,0,1
Automatic Rifle_69.jpeg,Automatic Rifle_69.txt,0,1
Automatic Rifle_7.jpeg,Automatic Rifle_7.txt,0,1
Automatic Rifle_70.jpeg,Automatic Rifle_70.txt,0,0
Automatic Rifle_71.jpeg,Automatic Rifle_71.txt,0,1
Automatic Rifle_72.jpeg,Automatic Rifle_72.txt,0,1
Automatic Rifle_74.png,Automatic Rifle_74.txt,0,1
Automatic Rifle_75.png,Automatic Rifle_75.txt,0,1
Automatic Rifle_77.jpeg,Automatic Rifle_77.txt,0,0
Automatic Rifle_78.jpeg,Automatic Rifle_78.txt,0,1
Automatic Rifle_79.jpeg,Automatic Rifle_79.txt,0,1
Automatic Rifle_80.jpeg,Automatic Rifle_80.txt,0,1
Automatic Rifle_81.jpeg,Automatic Rifle_81.txt,0,0
Automatic Rifle_85.jpeg,Automatic Rifle_85.txt,0,1
Automatic Rifle_9.jpeg,Automatic Rifle_9.txt,0,0
Automatic Rifle_93.jpeg,Automatic Rifle_93.txt,0,1
Automatic Rifle_99.jpeg,Automatic Rifle_99.txt,0,1
Bazooka_10.png,Bazooka_10.txt,1,1
Bazooka_100.jpeg,Bazooka_100.txt,1,1
Bazooka_11.png,Bazooka_11.txt,1,1
Bazooka_12.jpeg,Bazooka_12.txt,1,1
Bazooka_13.jpeg,Bazooka_13.txt,1,1
Bazooka_14.jpeg,Bazooka_14.txt,1,1
Bazooka_15.jpeg,Bazooka_15.txt,1,1
Bazooka_17.jpeg,Bazooka_17.txt,1,1
Bazooka_18.jpeg,Bazooka_18.txt,1,0
Bazooka_19.jpeg,Bazooka_19.txt,1,1
Bazooka_20.jpeg,Bazooka_20.txt,1,1
Bazooka_21.jpeg,Bazooka_21.txt,1,1
Bazooka_24.jpeg,Bazooka_24.txt,1,1
Bazooka_26.jpeg,Bazooka_26.txt,1,1
Bazooka_3.jpeg,Bazooka_3.txt,1,1
Bazooka_30.jpeg,Bazooka_30.txt,1,1
Bazooka_32.jpeg,Bazooka_32.txt,1,1
Bazooka_33.jpeg,Bazooka_33.txt,1,1
Bazooka_34.jpeg,Bazooka_34.txt,1,1
Bazooka_37.jpeg,Bazooka_37.txt,1,0
Bazooka_39.jpeg,Bazooka_39.txt,1,1
Bazooka_4.jpeg,Bazooka_4.txt,1,1
Bazooka_40.png,Bazooka_40.txt,1,1
Bazooka_42.jpeg,Bazooka_42.txt,1,1
Bazooka_43.jpeg,Bazooka_43.txt,1,1
Bazooka_44.jpeg,Bazooka_44.txt,1,0
Bazooka_45.jpeg,Bazooka_45.txt,1,1
Bazooka_47.jpeg,Bazooka_47.txt,1,0
Bazooka_49.jpeg,Bazooka_49.txt,1,1
Bazooka_5.jpeg,Bazooka_5.txt,1,1
Bazooka_50.png,Bazooka_50.txt,1,1
Bazooka_51.jpeg,Bazooka_51.txt,1,1
Bazooka_53.jpeg,Bazooka_53.txt,1,1
Bazooka_55.jpeg,Bazooka_55.txt,1,1
Bazooka_57.jpeg,Bazooka_57.txt,1,1
Bazooka_58.jpeg,Bazooka_58.txt,1,1
Bazooka_59.jpeg,Bazooka_59.txt,1,0
Bazooka_6.jpeg,Bazooka_6.txt,1,1
Bazooka_60.jpeg,Bazooka_60.txt,1,1
Bazooka_61.jpeg,Bazooka_61.txt,1,1
Bazooka_66.jpeg,Bazooka_66.txt,1,1
Bazooka_67.jpeg,Bazooka_67.txt,1,1
Bazooka_68.jpeg,Bazooka_68.txt,1,1
Bazooka_69.jpeg,Bazooka_69.txt,1,1
Bazooka_7.jpeg,Bazooka_7.txt,1,1
Bazooka_70.jpeg,Bazooka_70.txt,1,0
Bazooka_71.jpeg,Bazooka_71.txt,1,0
Bazooka_72.jpeg,Bazooka_72.txt,1,0
Bazooka_73.jpeg,Bazooka_73.txt,1,1
Bazooka_74.jpeg,Bazooka_74.txt,1,0
Bazooka_75.png,Bazooka_75.txt,1,1
Bazooka_76.png,Bazooka_76.txt,1,0
Bazooka_77.jpeg,Bazooka_77.txt,1,1
Bazooka_78.jpeg,Bazooka_78.txt,1,0
Bazooka_79.jpeg,Bazooka_79.txt,1,1
Bazooka_8.jpeg,Bazooka_8.txt,1,1
Bazooka_80.jpeg,Bazooka_80.txt,1,1
Bazooka_81.jpeg,Bazooka_81.txt,1,1
Bazooka_82.jpeg,Bazooka_82.txt,1,0
Bazooka_83.jpeg,Bazooka_83.txt,1,1
Bazooka_84.jpeg,Bazooka_84.txt,1,1
Bazooka_85.jpeg,Bazooka_85.txt,1,1
Bazooka_86.jpeg,Bazooka_86.txt,1,0
Bazooka_87.jpeg,Bazooka_87.txt,1,1
Bazooka_96.jpeg,Bazooka_96.txt,1,1
Bazooka_98.jpeg,Bazooka_98.txt,1,1
Bazooka_99.jpeg,Bazooka_99.txt,1,1
Grenade Launcher_10.jpeg,Grenade Launcher_10.txt,2,1
Grenade Launcher_100.png,Grenade Launcher_100.txt,2,0
Grenade Launcher_11.jpeg,Grenade Launcher_11.txt,2,1
Grenade Launcher_12.jpeg,Grenade Launcher_12.txt,2,1
Grenade Launcher_13.jpeg,Grenade Launcher_13.txt,2,0
Grenade Launcher_15.png,Grenade Launcher_15.txt,2,1
Grenade Launcher_16.jpeg,Grenade Launcher_16.txt,2,1
Grenade Launcher_17.jpeg,Grenade Launcher_17.txt,2,1
Grenade Launcher_18.jpeg,Grenade Launcher_18.txt,2,1
Grenade Launcher_20.jpeg,Grenade Launcher_20.txt,2,0
Grenade Launcher_21.jpeg,Grenade Launcher_21.txt,2,0
Grenade Launcher_22.jpeg,Grenade Launcher_22.txt,2,0
Grenade Launcher_23.jpeg,Grenade Launcher_23.txt,2,1
Grenade Launcher_24.jpeg,Grenade Launcher_24.txt,2,1
Grenade Launcher_25.jpeg,Grenade Launcher_25.txt,2,0
Grenade Launcher_26.jpeg,Grenade Launcher_26.txt,2,0
Grenade Launcher_27.png,Grenade Launcher_27.txt,2,1
Grenade Launcher_28.jpeg,Grenade Launcher_28.txt,2,1
Grenade Launcher_29.jpeg,Grenade Launcher_29.txt,2,1
Grenade Launcher_3.jpeg,Grenade Launcher_3.txt,2,1
Grenade Launcher_30.jpeg,Grenade Launcher_30.txt,2,1
Grenade Launcher_32.jpeg,Grenade Launcher_32.txt,2,1
Grenade Launcher_33.png,Grenade Launcher_33.txt,2,1
Grenade Launcher_34.jpeg,Grenade Launcher_34.txt,2,0
Grenade Launcher_35.jpeg,Grenade Launcher_35.txt,2,0
Grenade Launcher_36.jpeg,Grenade Launcher_36.txt,2,1
Grenade Launcher_37.png,Grenade Launcher_37.txt,2,1
Grenade Launcher_38.jpeg,Grenade Launcher_38.txt,2,1
Grenade Launcher_39.png,Grenade Launcher_39.txt,2,1
Grenade Launcher_4.jpeg,Grenade Launcher_4.txt,2,0
Grenade Launcher_40.jpeg,Grenade Launcher_40.txt,2,1
Grenade Launcher_41.jpeg,Grenade Launcher_41.txt,2,1
Grenade Launcher_42.jpeg,Grenade Launcher_42.txt,2,0
Grenade Launcher_44.jpeg,Grenade Launcher_44.txt,2,1
Grenade Launcher_45.jpeg,Grenade Launcher_45.txt,2,1
Grenade Launcher_46.jpeg,Grenade Launcher_46.txt,2,1
Grenade Launcher_47.jpeg,Grenade Launcher_47.txt,2,0
Grenade Launcher_48.jpeg,Grenade Launcher_48.txt,2,1
Grenade Launcher_49.jpeg,Grenade Launcher_49.txt,2,1
Grenade Launcher_5.png,Grenade Launcher_5.txt,2,1
Grenade Launcher_50.jpeg,Grenade Launcher_50.txt,2,1
Grenade Launcher_51.jpeg,Grenade Launcher_51.txt,2,1
Grenade Launcher_52.jpeg,Grenade Launcher_52.txt,2,1
Grenade Launcher_56.jpeg,Grenade Launcher_56.txt,2,1
Grenade Launcher_57.jpeg,Grenade Launcher_57.txt,2,1
Grenade Launcher_58.png,Grenade Launcher_58.txt,2,1
Grenade Launcher_59.jpeg,Grenade Launcher_59.txt,2,1
Grenade Launcher_6.jpeg,Grenade Launcher_6.txt,2,1
Grenade Launcher_60.jpeg,Grenade Launcher_60.txt,2,1
Grenade Launcher_61.png,Grenade Launcher_61.txt,2,1
Grenade Launcher_62.jpeg,Grenade Launcher_62.txt,2,0
Grenade Launcher_63.jpeg,Grenade Launcher_63.txt,2,1
Grenade Launcher_64.jpeg,Grenade Launcher_64.txt,2,1
Grenade Launcher_65.jpeg,Grenade Launcher_65.txt,2,1
Grenade Launcher_66.jpeg,Grenade Launcher_66.txt,2,1
Grenade Launcher_67.jpeg,Grenade Launcher_67.txt,2,1
Grenade Launcher_68.jpeg,Grenade Launcher_68.txt,2,1
Grenade Launcher_7.jpeg,Grenade Launcher_7.txt,2,1
Grenade Launcher_70.png,Grenade Launcher_70.txt,2,1
Grenade Launcher_71.jpeg,Grenade Launcher_71.txt,2,1
Grenade Launcher_72.jpeg,Grenade Launcher_72.txt,2,1
Grenade Launcher_73.jpeg,Grenade Launcher_73.txt,2,1
Grenade Launcher_74.jpeg,Grenade Launcher_74.txt,2,1
Grenade Launcher_75.jpeg,Grenade Launcher_75.txt,2,0
Grenade Launcher_76.jpeg,Grenade Launcher_76.txt,2,1
Grenade Launcher_78.jpeg,Grenade Launcher_78.txt,2,0
Grenade Launcher_79.jpeg,Grenade Launcher_79.txt,2,1
Grenade Launcher_8.png,Grenade Launcher_8.txt,2,1
Grenade Launcher_80.jpeg,Grenade Launcher_80.txt,2,1
Grenade Launcher_81.png,Grenade Launcher_81.txt,2,1
Grenade Launcher_82.jpeg,Grenade Launcher_82.txt,2,1
Grenade Launcher_83.jpeg,Grenade Launcher_83.txt,2,0
Grenade Launcher_84.jpeg,Grenade Launcher_84.txt,2,1
Grenade Launcher_85.jpeg,Grenade Launcher_85.txt,2,1
Grenade Launcher_86.jpeg,Grenade Launcher_86.txt,2,1
Grenade Launcher_87.png,Grenade Launcher_87.txt,2,1
Grenade Launcher_88.jpeg,Grenade Launcher_88.txt,2,1
Grenade Launcher_89.jpeg,Grenade Launcher_89.txt,2,1
Grenade Launcher_9.jpeg,Grenade Launcher_9.txt,2,1
Grenade Launcher_90.jpeg,Grenade Launcher_90.txt,2,1
Grenade Launcher_92.jpeg,Grenade Launcher_92.txt,2,1
Grenade Launcher_93.jpeg,Grenade Launcher_93.txt,2,0
Grenade Launcher_94.png,Grenade Launcher_94.txt,2,1
Grenade Launcher_95.jpeg,Grenade Launcher_95.txt,2,1
Grenade Launcher_96.jpeg,Grenade Launcher_96.txt,2,1
Grenade Launcher_97.jpeg,Grenade Launcher_97.txt,2,1
Grenade Launcher_98.jpeg,Grenade Launcher_98.txt,2,1
Grenade Launcher_99.png,Grenade Launcher_99.txt,2,0
Handgun_10.jpeg,Handgun_10.txt,3,1
Handgun_11.jpeg,Handgun_11.txt,3,1
Handgun_12.jpeg,Handgun_12.txt,3,1
Handgun_13.jpeg,Handgun_13.txt,3,0
Handgun_14.jpeg,Handgun_14.txt,3,0
Handgun_15.png,Handgun_15.txt,3,1
Handgun_16.jpeg,Handgun_16.txt,3,1
Handgun_17.jpeg,Handgun_17.txt,3,1
Handgun_18.jpeg,Handgun_18.txt,3,1
Handgun_19.jpeg,Handgun_19.txt,3,0
Handgun_20.jpeg,Handgun_20.txt,3,1
Handgun_21.jpeg,Handgun_21.txt,3,1
Handgun_22.jpeg,Handgun_22.txt,3,0
Handgun_23.jpeg,Handgun_23.txt,3,1
Handgun_24.jpeg,Handgun_24.txt,3,1
Handgun_25.jpeg,Handgun_25.txt,3,1
Handgun_26.jpeg,Handgun_26.txt,3,1
Handgun_27.jpeg,Handgun_27.txt,3,0
Handgun_28.jpeg,Handgun_28.txt,3,1
Handgun_29.jpeg,Handgun_29.txt,3,1
Handgun_3.jpeg,Handgun_3.txt,3,1
Handgun_30.jpeg,Handgun_30.txt,3,1
Handgun_31.jpeg,Handgun_31.txt,3,0
Handgun_32.jpeg,Handgun_32.txt,3,0
Handgun_33.png,Handgun_33.txt,3,1
Handgun_34.jpeg,Handgun_34.txt,3,1
Handgun_35.jpeg,Handgun_35.txt,3,1
Handgun_36.jpeg,Handgun_36.txt,3,0
Handgun_37.jpeg,Handgun_37.txt,3,1
Handgun_38.jpeg,Handgun_38.txt,3,1
Handgun_39.jpeg,Handgun_39.txt,3,1
Handgun_4.jpeg,Handgun_4.txt,3,1
Handgun_40.jpeg,Handgun_40.txt,3,1
Handgun_41.jpeg,Handgun_41.txt,3,1
Handgun_43.jpeg,Handgun_43.txt,3,1
Handgun_44.jpeg,Handgun_44.txt,3,0
Handgun_45.jpeg,Handgun_45.txt,3,1
Handgun_46.jpeg,Handgun_46.txt,3,1
Handgun_5.jpeg,Handgun_5.txt,3,0
Handgun_58.jpeg,Handgun_58.txt,3,1
Handgun_6.jpeg,Handgun_6.txt,3,1
Handgun_60.jpeg,Handgun_60.txt,3,1
Handgun_61.png,Handgun_61.txt,3,1
Handgun_67.jpeg,Handgun_67.txt,3,1
Handgun_7.jpeg,Handgun_7.txt,3,1
Handgun_71.jpeg,Handgun_71.txt,3,1
Handgun_76.jpeg,Handgun_76.txt,3,0
Handgun_77.jpeg,Handgun_77.txt,3,1
Handgun_78.jpeg,Handgun_78.txt,3,1
Handgun_8.jpeg,Handgun_8.txt,3,1
Handgun_80.jpeg,Handgun_80.txt,3,1
Handgun_81.jpeg,Handgun_81.txt,3,0
Handgun_82.jpeg,Handgun_82.txt,3,1
Handgun_83.png,Handgun_83.txt,3,1
Handgun_84.jpeg,Handgun_84.txt,3,1
Handgun_85.jpeg,Handgun_85.txt,3,1
Handgun_86.jpeg,Handgun_86.txt,3,1
Handgun_87.jpeg,Handgun_87.txt,3,1
Handgun_88.jpeg,Handgun_88.txt,3,1
Handgun_89.jpeg,Handgun_89.txt,3,1
Handgun_9.jpeg,Handgun_9.txt,3,1
Handgun_90.jpeg,Handgun_90.txt,3,1
Handgun_91.jpeg,Handgun_91.txt,3,1
Handgun_92.png,Handgun_92.txt,3,0
Handgun_93.jpeg,Handgun_93.txt,3,1
Handgun_94.jpeg,Handgun_94.txt,3,1
Handgun_96.jpeg,Handgun_96.txt,3,1
Handgun_97.jpeg,Handgun_97.txt,3,1
Handgun_98.jpeg,Handgun_98.txt,3,1
Handgun_99.jpeg,Handgun_99.txt,3,0
Knife_10.jpeg,Knife_10.txt,4,1
Knife_11.jpeg,Knife_11.txt,4,0
Knife_12.jpeg,Knife_12.txt,4,1
Knife_13.jpeg,Knife_13.txt,4,1
Knife_14.jpeg,Knife_14.txt,4,1
Knife_15.jpeg,Knife_15.txt,4,1
Knife_16.jpeg,Knife_16.txt,4,1
Knife_18.jpeg,Knife_18.txt,4,0
Knife_19.jpeg,Knife_19.txt,4,0
Knife_20.jpeg,Knife_20.txt,4,1
Knife_23.jpeg,Knife_23.txt,4,1
Knife_24.jpeg,Knife_24.txt,4,0
Knife_25.jpeg,Knife_25.txt,4,1
Knife_26.jpeg,Knife_26.txt,4,1
Knife_27.png,Knife_27.txt,4,1
Knife_28.png,Knife_28.txt,4,1
Knife_3.jpeg,Knife_3.txt,4,1
Knife_30.jpeg,Knife_30.txt,4,1
Knife_31.jpeg,Knife_31.txt,4,1
Knife_33.jpeg,Knife_33.txt,4,1
Knife_34.png,Knife_34.txt,4,1
Knife_35.jpeg,Knife_35.txt,4,1
Knife_36.jpeg,Knife_36.txt,4,0
Knife_38.jpeg,Knife_38.txt,4,0
Knife_39.jpeg,Knife_39.txt,4,1
Knife_4.jpeg,Knife_4.txt,4,1
Knife_40.jpeg,Knife_40.txt,4,1
Knife_41.jpeg,Knife_41.txt,4,1
Knife_42.jpeg,Knife_42.txt,4,1
Knife_44.jpeg,Knife_44.txt,4,1
Knife_45.jpeg,Knife_45.txt,4,1
Knife_46.jpeg,Knife_46.txt,4,1
Knife_47.jpeg,Knife_47.txt,4,1
Knife_48.jpeg,Knife_48.txt,4,1
Knife_49.jpeg,Knife_49.txt,4,1
Knife_5.jpeg,Knife_5.txt,4,1
Knife_51.jpeg,Knife_51.txt,4,1
Knife_52.jpeg,Knife_52.txt,4,1
Knife_53.jpeg,Knife_53.txt,4,0
Knife_56.png,Knife_56.txt,4,1
Knife_57.jpeg,Knife_57.txt,4,1
Knife_58.jpeg,Knife_58.txt,4,1
Knife_59.jpeg,Knife_59.txt,4,1
Knife_6.jpeg,Knife_6.txt,4,1
Knife_60.jpeg,Knife_60.txt,4,0
Knife_61.jpeg,Knife_61.txt,4,1
Knife_65.jpeg,Knife_65.txt,4,1
Knife_66.jpeg,Knife_66.txt,4,0
Knife_67.jpeg,Knife_67.txt,4,1
Knife_68.jpeg,Knife_68.txt,4,1
Knife_69.jpeg,Knife_69.txt,4,1
Knife_7.jpeg,Knife_7.txt,4,1
Knife_70.jpeg,Knife_70.txt,4,1
Knife_71.jpeg,Knife_71.txt,4,1
Knife_72.jpeg,Knife_72.txt,4,1
Knife_73.jpeg,Knife_73.txt,4,1
Knife_74.jpeg,Knife_74.txt,4,1
Knife_75.jpeg,Knife_75.txt,4,0
Knife_76.jpeg,Knife_76.txt,4,0
Knife_77.jpeg,Knife_77.txt,4,1
Knife_78.jpeg,Knife_78.txt,4,1
Knife_8.jpeg,Knife_8.txt,4,1
Knife_83.jpeg,Knife_83.txt,4,1
Knife_84.jpeg,Knife_84.txt,4,1
Knife_85.jpeg,Knife_85.txt,4,1
Knife_88.jpeg,Knife_88.txt,4,1
Knife_89.jpeg,Knife_89.txt,4,1
Knife_9.jpeg,Knife_9.txt,4,1
Knife_90.jpeg,Knife_90.txt,4,0
Knife_92.png,Knife_92.txt,4,0
Knife_93.jpeg,Knife_93.txt,4,0
Knife_95.jpeg,Knife_95.txt,4,1
Shotgun_10.png,Shotgun_10.txt,5,1
Shotgun_100.jpeg,Shotgun_100.txt,5,1
Shotgun_11.jpeg,Shotgun_11.txt,5,1
Shotgun_12.jpeg,Shotgun_12.txt,5,1
Shotgun_13.jpeg,Shotgun_13.txt,5,1
Shotgun_14.jpeg,Shotgun_14.txt,5,1
Shotgun_15.jpeg,Shotgun_15.txt,5,0
Shotgun_16.jpeg,Shotgun_16.txt,5,0
Shotgun_17.jpeg,Shotgun_17.txt,5,1
Shotgun_18.png,Shotgun_18.txt,5,1
Shotgun_21.jpeg,Shotgun_21.txt,5,1
Shotgun_22.png,Shotgun_22.txt,5,1
Shotgun_23.jpeg,Shotgun_23.txt,5,1
Shotgun_25.jpeg,Shotgun_25.txt,5,1
Shotgun_27.jpeg,Shotgun_27.txt,5,1
Shotgun_28.jpeg,Shotgun_28.txt,5,1
Shotgun_29.jpeg,Shotgun_29.txt,5,1
Shotgun_3.jpeg,Shotgun_3.txt,5,1
Shotgun_31.jpeg,Shotgun_31.txt,5,1
Shotgun_32.png,Shotgun_32.txt,5,1
Shotgun_33.jpeg,Shotgun_33.txt,5,0
Shotgun_35.jpeg,Shotgun_35.txt,5,0
Shotgun_36.jpeg,Shotgun_36.txt,5,1
Shotgun_37.jpeg,Shotgun_37.txt,5,1
Shotgun_39.jpeg,Shotgun_39.txt,5,1
Shotgun_4.jpeg,Shotgun_4.txt,5,1
Shotgun_41.jpeg,Shotgun_41.txt,5,1
Shotgun_42.png,Shotgun_42.txt,5,1
Shotgun_43.jpeg,Shotgun_43.txt,5,0
Shotgun_44.jpeg,Shotgun_44.txt,5,0
Shotgun_46.jpeg,Shotgun_46.txt,5,0
Shotgun_47.jpeg,Shotgun_47.txt,5,1
Shotgun_48.jpeg,Shotgun_48.txt,5,1
Shotgun_49.jpeg,Shotgun_49.txt,5,1
Shotgun_5.jpeg,Shotgun_5.txt,5,1
Shotgun_50.jpeg,Shotgun_50.txt,5,1
Shotgun_51.jpeg,Shotgun_51.txt,5,1
Shotgun_52.jpeg,Shotgun_52.txt,5,1
Shotgun_53.jpeg,Shotgun_53.txt,5,0
Shotgun_54.jpeg,Shotgun_54.txt,5,1
Shotgun_55.jpeg,Shotgun_55.txt,5,1
Shotgun_56.jpeg,Shotgun_56.txt,5,1
Shotgun_57.jpeg,Shotgun_57.txt,5,0
Shotgun_58.jpeg,Shotgun_58.txt,5,1
Shotgun_59.jpeg,Shotgun_59.txt,5,0
Shotgun_6.png,Shotgun_6.txt,5,1
Shotgun_60.jpeg,Shotgun_60.txt,5,1
Shotgun_64.jpeg,Shotgun_64.txt,5,0
Shotgun_65.jpeg,Shotgun_65.txt,5,1
Shotgun_66.jpeg,Shotgun_66.txt,5,1
Shotgun_67.png,Shotgun_67.txt,5,0
Shotgun_68.jpeg,Shotgun_68.txt,5,1
Shotgun_69.jpeg,Shotgun_69.txt,5,1
Shotgun_7.jpeg,Shotgun_7.txt,5,1
Shotgun_70.jpeg,Shotgun_70.txt,5,1
Shotgun_72.jpeg,Shotgun_72.txt,5,1
Shotgun_73.png,Shotgun_73.txt,5,0
Shotgun_74.jpeg,Shotgun_74.txt,5,1
Shotgun_76.jpeg,Shotgun_76.txt,5,1
Shotgun_77.jpeg,Shotgun_77.txt,5,1
Shotgun_78.jpeg,Shotgun_78.txt,5,1
Shotgun_79.jpeg,Shotgun_79.txt,5,1
Shotgun_80.jpeg,Shotgun_80.txt,5,1
Shotgun_81.jpeg,Shotgun_81.txt,5,1
Shotgun_82.png,Shotgun_82.txt,5,1
Shotgun_84.jpeg,Shotgun_84.txt,5,1
Shotgun_85.png,Shotgun_85.txt,5,1
Shotgun_86.jpeg,Shotgun_86.txt,5,1
Shotgun_87.jpeg,Shotgun_87.txt,5,0
Shotgun_89.jpeg,Shotgun_89.txt,5,1
Shotgun_9.jpeg,Shotgun_9.txt,5,0
Shotgun_90.jpeg,Shotgun_90.txt,5,1
Shotgun_91.jpeg,Shotgun_91.txt,5,1
Shotgun_92.jpeg,Shotgun_92.txt,5,1
Shotgun_93.jpeg,Shotgun_93.txt,5,0
Shotgun_94.jpeg,Shotgun_94.txt,5,1
Shotgun_96.jpeg,Shotgun_96.txt,5,1
Shotgun_98.jpeg,Shotgun_98.txt,5,1
SMG_10.jpeg,SMG_10.txt,6,1
SMG_100.png,SMG_100.txt,6,1
SMG_11.jpeg,SMG_11.txt,6,0
SMG_12.jpeg,SMG_12.txt,6,1
SMG_13.jpeg,SMG_13.txt,6,1
SMG_14.jpeg,SMG_14.txt,6,1
SMG_15.jpeg,SMG_15.txt,6,1
SMG_16.jpeg,SMG_16.txt,6,0
SMG_17.jpeg,SMG_17.txt,6,1
SMG_18.png,SMG_18.txt,6,1
SMG_19.jpeg,SMG_19.txt,6,0
SMG_20.jpeg,SMG_20.txt,6,1
SMG_21.jpeg,SMG_21.txt,6,1
SMG_22.jpeg,SMG_22.txt,6,0
SMG_23.jpeg,SMG_23.txt,6,1
SMG_24.jpeg,SMG_24.txt,6,1
SMG_25.png,SMG_25.txt,6,1
SMG_26.jpeg,SMG_26.txt,6,1
SMG_27.jpeg,SMG_27.txt,6,1
SMG_28.jpeg,SMG_28.txt,6,1
SMG_29.png,SMG_29.txt,6,1
SMG_3.jpeg,SMG_3.txt,6,1
SMG_30.jpeg,SMG_30.txt,6,1
SMG_31.jpeg,SMG_31.txt,6,0
SMG_32.jpeg,SMG_32.txt,6,1
SMG_33.jpeg,SMG_33.txt,6,0
SMG_34.jpeg,SMG_34.txt,6,1
SMG_35.png,SMG_35.txt,6,1
SMG_36.jpeg,SMG_36.txt,6,1
SMG_37.jpeg,SMG_37.txt,6,1
SMG_38.jpeg,SMG_38.txt,6,0
SMG_39.jpeg,SMG_39.txt,6,1
SMG_4.jpeg,SMG_4.txt,6,1
SMG_40.jpeg,SMG_40.txt,6,1
SMG_41.jpeg,SMG_41.txt,6,1
SMG_43.jpeg,SMG_43.txt,6,1
SMG_44.jpeg,SMG_44.txt,6,1
SMG_45.png,SMG_45.txt,6,1
SMG_46.jpeg,SMG_46.txt,6,1
SMG_48.jpeg,SMG_48.txt,6,1
SMG_49.jpeg,SMG_49.txt,6,1
SMG_5.png,SMG_5.txt,6,1
